
e_distract 0.4052068394925539 0.06395652616179119 0.3127413127413127 0.5096525096525096
n_distract 0.4651280062063613 0.07472622409872677 0.2924747866563227 0.5461598138091543
n 0.8175000000000011 0.0637649764543179 0.7 0.9333333333333333
r_distract 0.2827694235588973 0.0528148496214791 0.1946532999164578 0.37761069340016706
same 0.5363157894736843 0.05682687417770481 0.4605263157894737 0.6447368421052632
R 0.8885039370078733 0.03207576745319125 0.8188976377952756 0.9330708661417323
s_distract 0.2920805162876459 0.04051112365256109 0.22802704363859866 0.35894283958205286
s 0.6935000000000006 0.08709493543126465 0.5333333333333333 0.8333333333333334
e 0.8431666666666673 0.06837783104030315 0.7333333333333333 0.9333333333333333



python char-lm-ud-stationary-separate-bidir-with-spaces-probe-baseline-prediction-wiki-plurals-2-tests.py --language german --batchSize 128 --char_embedding_size 100 --hidden_dim 1024 --layer_num 2 --weight_dropout_in 0.1 --weight_dropout_hidden 0.35 --char_dropout_prob 0.0 --char_noise_prob 0.01 --learning_rate 0.2 --load-from wiki-german-nospaces-bptt-910515909
